from_id,subject,to_id,object,relation
1,编程规约,101,命名风格,包含
1,编程规约,102,常量定义,包含
1,编程规约,103,代码格式,包含
1,编程规约,104,OOP规约,包含
1,编程规约,105,日期时间,包含
1,编程规约,106,集合处理,包含
1,编程规约,107,并发处理,包含
1,编程规约,108,控制语句,包含
1,编程规约,109,注释规约,包含
1,编程规约,110,前后端规约,包含
1,编程规约,111,其他,包含
2,异常日志,112,错误码,包含
2,异常日志,113,异常处理,包含
2,异常日志,114,日志规约,包含
5,MySQL 数据库,115,建表规约,包含
5,MySQL 数据库,116,索引规约,包含
5,MySQL 数据库,117,SQL 语句,包含
5,MySQL 数据库,118,ORM 映射,包含
6,工程结构,119,应用分层,包含
6,工程结构,120,二方库依赖,包含
6,工程结构,121,服务器,包含
101,命名风格,1001,【强制】命名不能以下划线或美元符号开头或结尾,包含
101,命名风格,1002,【强制】命名禁用拼音与英文混用，也不得直接使用中文,包含
101,命名风格,1003,【强制】代码与注释中避免歧视性或侮辱性词语,包含
101,命名风格,1004,【强制】类名用 UpperCamelCase（DO/PO/DTO/BO/VO/UID 等除外）,包含
101,命名风格,1005,【强制】方法名、参数、成员变量、局部变量统一 lowerCamelCase,包含
101,命名风格,1006,【强制】常量全大写下划线分隔，语义完整,包含
101,命名风格,1007,【强制】抽象类 Abstract/Base 开头、异常 Exception 结尾、测试类 Test 结尾,包含
101,命名风格,1008,【强制】类型与中括号紧挨定义数组（int[] 而非 int []）,包含
101,命名风格,1009,【强制】POJO 布尔变量不加 is 前缀,包含
101,命名风格,1010,【强制】包名小写、点间单词单数且语义单一,包含
101,命名风格,1011,【强制】避免父子类成员或不同代码块局部变量同名,包含
101,命名风格,1012,【强制】杜绝不规范的英文缩写,包含
101,命名风格,1013,【推荐】命名使用完整单词组合实现自解释,包含
101,命名风格,1014,【推荐】表示类型的名词放词尾以提升辨识度,包含
101,命名风格,1015,【推荐】使用设计模式时在命名中体现模式,包含
101,命名风格,1016,【推荐】接口方法与属性不加修饰符，尽量不定义常量,包含
101,命名风格,1017,【强制】Service/DAO 暴露接口，实现类用 Impl 后缀,包含
101,命名风格,1018,【参考】枚举类带 Enum 后缀，成员全大写下划线,包含
101,命名风格,1019,【参考】各层命名规约：方法 get/list/count/save/remove/update，模型 xxxDO/DTO/VO,包含
102,常量定义,1020,【强制】禁止魔法值直接出现在代码中,包含
102,常量定义,1021,【强制】long 字面量后缀用大写 L,包含
102,常量定义,1022,【强制】浮点数字面量后缀统一大写 D/F,包含
102,常量定义,1023,【推荐】常量按功能归类，不搞大而全常量类,包含
102,常量定义,1024,【推荐】常量分五层复用：跨应用/应用内/子工程/包内/类内,包含
102,常量定义,1025,【推荐】固定范围取值用 enum 定义,包含
103,代码格式,1026,【强制】大括号换行规范：左括号前不换行后换行，右括号前换行,包含
103,代码格式,1027,【强制】小括号与相邻字符不加空格，大括号前加空格,包含
103,代码格式,1028,【强制】if/for/while/switch/do 等保留字与括号间加空格,包含
103,代码格式,1029,【强制】双目/三目运算符两侧加空格,包含
103,代码格式,1030,【强制】4 空格缩进，禁用 Tab,包含
103,代码格式,1031,【强制】注释 // 与内容间有且仅有一个空格,包含
103,代码格式,1032,【强制】强转右括号与转换值间不加空格,包含
103,代码格式,1033,【强制】单行不超过 120 字符，按规范换行,包含
103,代码格式,1034,【强制】方法参数逗号后加空格,包含
103,代码格式,1035,【强制】编码 UTF-8，换行符用 Unix 格式,包含
103,代码格式,1036,【推荐】单个方法总行数不超过 80 行,包含
